['RA Austin', 5.89, 35.32, 'Spin', 2009, 2009, 0.5, 0.9, 0]
['TM Dowlin', 20.43, 45.19, 'OpenBat', 2009, 2010, 0.92, 0.95, 0]
['NO Miller', 6.71, 31.04, 'Spin', 2008, 2018, 1, 0.97, 0]
['OJ Phillips', 16.79, 100, 'OpenBat', 2009, 2009, 1.03, 1.2, 0]
['DM Richards', 19.42, 100, 'OpenBat', 2009, 2010, 1.52, 1.2, 0]
['KAJ Roach', 10.8, 26.0, 'Fast', 2009, 2021, 0.76, 0.99, 0]
['CAK Walton', 13.69, 100, 'WK', 2009, 2009, 1, 1.2, 0]
['AB Barath', 20.81, 100, 'OpenBat', 2009, 2012, 0.95, 1.2, 0]
['R Rampaul', 11.28, 41.03, 'Fast', 2009, 2012, 1.07, 0.94, 0]
['GC Tonge', 8.17, 42.22, 'Fast', 2009, 2009, 1, 1.2, 0]
['NT Pascal', 3.63, 48.08, 'PartFast', 2010, 2010, 1, 1.1, 0]
['S Shillingford', 10.57, 33.0, 'Spin', 2010, 2014, 0.85, 0.98, 0]
['BJ Bess', 4.2, 68.46, 'PartFast', 2008, 2012, 1, 1.2, 0]
['DM Bravo', 34.21, 100, 'Bat', 2010, 2020, 0.9, 0.8, 0]
['AD Russell', 15.06, 31.87, 'Fast', 2011, 2019, 1, 1.2, 0]
['D Bishoo', 14.24, 34.78, 'Spin', 2011, 2018, 0.74, 1.03, 0]
['KC Brathwaite', 31.69, 56.69, 'OpenPartSpin', 2011, 2021, 0.81, 1.04, 9]
['KA Edwards', 28.2, 100, 'Bat', 2011, 2014, 0.96, 1.2, 0]
['KOA Powell', 24.85, 47.6, 'OpenBat', 2011, 2018, 1.02, 1.2, 0]
['ST Gabriel', 4.11, 30.83, 'Fast', 2012, 2021, 0.71, 1.09, 0]
['AB Fudadin', 17.9, 49.71, 'Bat', 2012, 2012, 0.64, 0.8, 0]
['SP Narine', 11.15, 43.42, 'Spin', 2012, 2013, 0.87, 0.99, 0]
['V Permaul', 8.39, 33.74, 'Spin', 2012, 2015, 1.42, 1.1, 0]
