['FDM Karunaratne', 'Right arm medium', 72, 5176, 10405, 134, 284, 191, 2, 2012, 2021, 172, 12882, 46.17, 4, 123.0, 1988, 14, 0, 135]
['KDK Vithanage', 'Legbreak', 10, 370, 484, 14, 174, 133, 1, 2013, 2015, 87, 5283, 40.32, 4, 109.25, 1991, 0, 0, 1]
['SMSM Senanayake', 'Right arm offbreak', 1, 5, 15, 1, 138, 96, 0, 2012, 2015, 110, 2800, 24.34, 559, 20.47, 1985, 0, 0, 0]
['MDK Perera', 'Right arm offbreak', 43, 1303, 2779, 69, 10805, 5780, 161, 2014, 2021, 224, 7895, 23.42, 808, 26.47, 1982, 0, 0, 2]
['N Dickwella', '', 45, 2443, 3681, 75, '-', '-', '-', 2014, 2021, 107, 6342, 36.24, 0, '-', 1993, 0, 44, 0]
['PHT Kaushal', 'Right arm offbreak', 7, 106, 244, 10, 1658, 1105, 25, 2014, 2015, 80, 1887, 21.44, 367, 25.44, 1993, 0, 0, 0]
['PVD Chameera', 'Right arm fast', 11, 101, 330, 18, 1950, 1295, 32, 2015, 2021, 41, 233, 7.28, 97, 36.11, 1992, 0, 0, 0]
['MDKJ Perera', '', 22, 1177, 1629, 38, '-', '-', '-', 2015, 2021, 76, 4949, 41.58, '-', '-', 1990, 0, 6, 15]
['TAM Siriwardana', 'Slow left arm orthodox', 5, 298, 454, 9, 413, 257, 11, 2015, 2016, 131, 7715, 39.16, 156, 33.14, 1985, 0, 0, 0]
['BKG Mendis', 'Legbreak', 47, 3022, 5480, 87, 126, 110, 1, 2015, 2021, 75, 4946, 37.75, 2, 103.0, 1995, 0, 0, 9]
['MDUS Jayasundera', 'Legbreak', 2, 30, 77, 4, 42, 45, 0, 2015, 2015, 98, 6814, 41.04, 27, 50.81, 1991, 0, 0, 0]
['MD Shanaka', 'Right arm medium', 6, 140, 276, 10, 762, 431, 13, 2016, 2021, 65, 3337, 39.72, 64, 34.57, 1991, 0, 0, 0]
['DM de Silva', 'Right arm offbreak', 36, 2253, 3991, 59, 2605, 1441, 24, 2016, 2021, 97, 6255, 38.85, 114, 30.87, 1991, 0, 0, 0]
['PADLR Sandakan', 'Left arm wrist spin', 11, 117, 274, 11, 2063, 1276, 37, 2016, 2018, 63, 891, 12.54, 260, 26.16, 1991, 0, 0, 0]
['MVT Fernando', 'Left arm medium fast', 14, 58, 241, 9, 2382, 1403, 40, 2016, 2021, 79, 483, 8.62, 206, 32.18, 1991, 0, 0, 0]
['DAS Gunaratne', 'Right arm medium fast', 6, 455, 861, 8, 156, 114, 3, 2016, 2017, 90, 5993, 44.06, 63, 32.38, 1986, 0, 0, 0]
['CBRLS Kumara', 'Right arm fast', 23, 52, 190, 15, 4200, 2642, 69, 2016, 2021, 43, 264, 8.51, 127, 33.37, 1997, 0, 0, 0]
['MD Gunathilaka', 'Right arm offbreak', 8, 299, 597, 16, 198, 111, 1, 2017, 2018, 56, 2495, 28.03, 64, 30.53, 1991, 0, 0, 11]
['PM Pushpakumara', 'Slow left arm orthodox', 4, 102, 224, 6, 860, 520, 14, 2017, 2018, 139, 2167, 13.89, 793, 20.03, 1987, 0, 0, 0]
['PLS Gamage', 'Right arm fast medium', 5, 6, 99, 4, 1112, 573, 10, 2017, 2018, 111, 977, 10.17, 288, 30.37, 1988, 0, 0, 0]
['S Samarawickrama', '', 4, 125, 177, 8, '-', '-', '-', 2017, 2017, 54, 3108, 34.15, 0, '-', 1995, 0, 0, 5]
['ARS Silva', 'Right arm offbreak', 12, 702, 1712, 20, '-', '-', '-', 2017, 2019, 135, 8740, 48.82, 2, 84.5, 1988, 0, 0, 0]
['A Dananjaya', 'Right arm offbreak, Legbreak', 6, 135, 254, 8, 1385, 819, 33, 2018, 2019, 52, 1124, 23.91, 171, 27.97, 1993, 0, 0, 0]
['CAK Rajitha', 'Right arm medium fast', 9, 35, 233, 10, 1415, 779, 25, 2018, 2020, 49, 379, 9.02, 141, 33.12, 1993, 0, 0, 0]
['ML Udawatte', 'Right arm offbreak', 2, 23, 72, 4, '-', '-', '-', 2018, 2018, 169, 9680, 35.32, 7, 46.42, 1986, 0, 0, 4]
['C Karunaratne', 'Right arm medium fast', 1, 22, 43, 2, 156, 148, 1, 2015, 2020, 39, 1314, 24.33, 73, 35.76, 1996, 0, 0, 0]
['L Embuldeniya', 'Slow left arm orthodox', 11, 121, 314, 15, 3231, 1823, 49, 2019, 2021, 38, 446, 11.73, 191, 25.58, 1996, 0, 0, 0]
